City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
1500,Abu Dhabi,24.4667,54.3667,100.51,67,71,5.75,AE,2021-07-25 18:58:44,broken clouds
1501,Port Alfred,-33.5906,26.891,61.18,45,66,11.88,ZA,2021-07-25 18:57:46,broken clouds
1502,Alta Floresta,-9.8756,-56.0861,97.5,21,41,2.82,BR,2021-07-25 19:00:34,scattered clouds
1503,Port Alfred,-33.5906,26.891,61.18,45,66,11.88,ZA,2021-07-25 18:57:46,broken clouds
1504,Karratha,-20.7377,116.8463,69.4,47,10,6.33,AU,2021-07-25 19:00:57,clear sky
1505,Tuzla,44.5428,18.6694,78.76,78,0,2.3,BA,2021-07-25 18:59:01,clear sky
1506,Vaini,-21.2,-175.2,66.36,100,20,0.0,TO,2021-07-25 18:54:43,fog
1507,Barrow,71.2906,-156.7887,38.64,91,100,13.15,US,2021-07-25 18:55:03,overcast clouds
1508,Punta Arenas,-53.15,-70.9167,41.11,65,20,19.57,CL,2021-07-25 18:57:42,few clouds
1509,Kavieng,-2.5744,150.7967,80.69,77,90,3.4,PG,2021-07-25 18:58:56,light rain
1510,Carnarvon,-24.8667,113.6333,53.67,73,0,4.61,AU,2021-07-25 18:58:22,clear sky
1511,Rikitea,-23.1203,-134.9692,70.5,67,76,6.44,PF,2021-07-25 18:55:36,broken clouds
1512,Hofn,64.2539,-15.2082,52.03,93,100,18.5,IS,2021-07-25 18:56:26,overcast clouds
1513,Shingu,33.7333,135.9833,73.9,81,0,5.01,JP,2021-07-25 19:03:14,clear sky
1514,Butaritari,3.0707,172.7902,81.48,77,86,10.69,KI,2021-07-25 18:54:40,moderate rain
1515,East London,-33.0153,27.9116,56.34,76,0,5.75,ZA,2021-07-25 18:57:35,clear sky
1516,Ponto Novo,-10.8628,-40.1336,80.78,35,4,12.62,BR,2021-07-25 19:03:15,clear sky
1517,Port Hedland,-20.3167,118.5667,59.05,82,97,6.91,AU,2021-07-25 18:58:57,overcast clouds
1518,Pevek,69.7008,170.3133,34.74,91,100,8.23,RU,2021-07-25 18:57:12,overcast clouds
1519,College,64.8569,-147.8028,64.2,64,90,4.0,US,2021-07-25 19:03:15,haze
1520,Mahuva,21.0914,71.7622,78.76,85,100,9.57,IN,2021-07-25 19:03:16,heavy intensity rain
1521,Aguada De Pasajeros,22.385,-80.8508,90.61,51,82,2.8,CU,2021-07-25 19:03:16,broken clouds
1522,Hilo,19.7297,-155.09,81.63,91,59,1.99,US,2021-07-25 18:57:35,broken clouds
1523,Atasu,48.6814,71.6433,73.2,65,14,15.57,KZ,2021-07-25 19:03:17,few clouds
1524,Mataura,-46.1927,168.8643,47.48,92,100,3.22,NZ,2021-07-25 18:57:39,light rain
1525,Jamestown,42.097,-79.2353,85.08,65,0,9.19,US,2021-07-25 18:57:44,clear sky
1526,Cap Malheureux,-19.9842,57.6142,70.47,59,0,8.01,MU,2021-07-25 18:59:25,clear sky
1527,La Ronge,55.1001,-105.2842,66.45,59,75,6.91,CA,2021-07-25 18:58:07,broken clouds
1528,Punta Arenas,-53.15,-70.9167,41.11,65,20,19.57,CL,2021-07-25 18:57:42,few clouds
1529,Cherskiy,68.75,161.3,43.47,69,46,7.9,RU,2021-07-25 18:58:27,scattered clouds
1530,Airai,-8.9266,125.4092,55.89,53,76,3.2,TL,2021-07-25 18:53:26,broken clouds
1531,Vestmannaeyjar,63.4427,-20.2734,51.08,85,100,21.94,IS,2021-07-25 18:58:57,overcast clouds
1532,Ushuaia,-54.8,-68.3,33.46,100,75,20.71,AR,2021-07-25 18:56:18,light snow
1533,Ushuaia,-54.8,-68.3,33.46,100,75,20.71,AR,2021-07-25 18:56:18,light snow
1534,Ribeira Grande,38.5167,-28.7,75.6,73,20,3.44,PT,2021-07-25 18:56:05,few clouds
1535,Tomatlan,19.9333,-105.25,91.49,57,6,6.98,MX,2021-07-25 19:02:18,clear sky
1536,Punta Arenas,-53.15,-70.9167,41.11,65,20,19.57,CL,2021-07-25 18:57:42,few clouds
1537,Mataura,-46.1927,168.8643,47.48,92,100,3.22,NZ,2021-07-25 18:57:39,light rain
1538,Ushuaia,-54.8,-68.3,33.46,100,75,20.71,AR,2021-07-25 18:56:18,light snow
1539,Sahuaripa,29.05,-109.2333,88.23,46,41,3.31,MX,2021-07-25 19:03:19,scattered clouds
1540,Inta,66.0317,60.1659,49.05,93,100,15.7,RU,2021-07-25 19:01:34,overcast clouds
1541,Wana,32.2989,69.5725,86.27,44,0,2.62,PK,2021-07-25 19:03:20,clear sky
1542,Tashtyp,52.7939,89.8983,59.31,94,45,3.44,RU,2021-07-25 19:03:20,scattered clouds
1543,Ushuaia,-54.8,-68.3,33.46,100,75,20.71,AR,2021-07-25 18:56:18,light snow
1544,Mount Barker,-35.0667,138.8667,52.2,98,100,12.53,AU,2021-07-25 19:03:20,overcast clouds
1545,Saskylakh,71.9167,114.0833,53.91,74,71,11.21,RU,2021-07-25 18:58:13,broken clouds
1546,Ushuaia,-54.8,-68.3,33.46,100,75,20.71,AR,2021-07-25 18:56:18,light snow
1547,Dzaoudzi,-12.7887,45.2699,76.89,65,0,14.97,YT,2021-07-25 19:03:21,clear sky
1548,Cherskiy,68.75,161.3,43.47,69,46,7.9,RU,2021-07-25 18:58:27,scattered clouds
1549,Kodiak,57.79,-152.4072,53.11,82,90,5.75,US,2021-07-25 18:54:15,haze
1550,Berlevag,70.8578,29.0864,46.35,87,75,23.02,NO,2021-07-25 19:01:49,broken clouds
1551,Hobart,-42.8794,147.3294,44.46,72,40,3.0,AU,2021-07-25 18:54:38,scattered clouds
1552,Lavrentiya,65.5833,-171.0,44.38,99,100,4.23,RU,2021-07-25 18:58:49,light rain
1553,Ushuaia,-54.8,-68.3,33.46,100,75,20.71,AR,2021-07-25 18:56:18,light snow
1554,Vallenar,-28.5708,-70.7581,68.74,28,0,7.47,CL,2021-07-25 18:59:39,clear sky
1555,Faya,18.3851,42.4509,68.11,75,100,4.23,SA,2021-07-25 18:56:10,overcast clouds
1556,New Norfolk,-42.7826,147.0587,44.1,70,63,4.0,AU,2021-07-25 18:58:29,broken clouds
1557,Kavieng,-2.5744,150.7967,80.69,77,90,3.4,PG,2021-07-25 18:58:56,light rain
1558,Salumbar,24.1333,74.05,77.14,94,100,10.02,IN,2021-07-25 19:03:23,overcast clouds
1559,Fukue,32.6881,128.8419,79.57,83,100,18.14,JP,2021-07-25 19:03:23,light rain
1560,Port Elizabeth,-33.918,25.5701,50.29,87,40,3.44,ZA,2021-07-25 18:55:08,scattered clouds
1561,Narsaq,60.9167,-46.05,52.09,51,71,3.76,GL,2021-07-25 19:00:07,broken clouds
1562,Severo-Kurilsk,50.6789,156.125,53.98,99,81,5.03,RU,2021-07-25 18:55:14,broken clouds
1563,Kennewick,46.2113,-119.1372,94.86,27,1,3.0,US,2021-07-25 19:00:53,clear sky
1564,Clyde River,70.4692,-68.5914,35.83,100,90,9.22,CA,2021-07-25 18:57:04,mist
1565,Funadhoo,6.15,73.2667,81.86,78,100,19.53,MV,2021-07-25 19:03:25,overcast clouds
1566,Hobyo,5.3505,48.5268,77.04,74,49,24.94,SO,2021-07-25 19:03:25,scattered clouds
1567,Chokurdakh,70.6333,147.9167,38.5,73,1,10.0,RU,2021-07-25 18:58:53,clear sky
1568,Sosua,19.7667,-70.5167,84.92,75,13,9.46,DO,2021-07-25 19:00:13,few clouds
1569,Broome,42.2506,-75.833,87.71,63,75,1.99,US,2021-07-25 19:03:26,broken clouds
1570,Puerto Ayora,-0.7393,-90.3518,80.56,84,37,8.99,EC,2021-07-25 18:54:38,scattered clouds
1571,Kidal,18.4411,1.4078,89.29,38,99,14.54,ML,2021-07-25 19:03:26,overcast clouds
1572,Bethel,41.3712,-73.414,81.01,83,100,1.01,US,2021-07-25 18:59:11,overcast clouds
1573,Belaya Glina,46.07,40.86,78.67,38,93,11.77,RU,2021-07-25 19:03:27,overcast clouds
1574,Mabay,6.0577,124.4666,78.42,81,42,2.82,PH,2021-07-25 19:03:27,scattered clouds
1575,San Patricio,28.017,-97.5169,94.01,41,0,12.5,US,2021-07-25 18:55:43,clear sky
1576,Yellowknife,62.456,-114.3525,65.32,51,20,1.99,CA,2021-07-25 18:53:54,few clouds
1577,Tyret Pervaya,53.6703,102.3106,59.36,72,100,1.07,RU,2021-07-25 19:03:28,overcast clouds
1578,Yumen,40.2833,97.2,77.41,32,2,8.61,CN,2021-07-25 19:03:11,clear sky
1579,Caravelas,-17.7125,-39.2481,72.21,73,57,8.46,BR,2021-07-25 18:55:39,broken clouds
1580,Tingo Maria,-9.2895,-76.0088,88.21,41,3,3.42,PE,2021-07-25 19:03:28,clear sky
1581,Port Alfred,-33.5906,26.891,61.18,45,66,11.88,ZA,2021-07-25 18:57:46,broken clouds
1582,Khatanga,71.9667,102.5,48.52,89,31,6.87,RU,2021-07-25 18:57:05,scattered clouds
1583,Tokur,53.1333,132.9,56.07,96,65,3.2,RU,2021-07-25 19:03:29,broken clouds
1584,Elizabeth City,36.2946,-76.2511,91.02,61,86,4.0,US,2021-07-25 19:03:30,overcast clouds
1585,Upernavik,72.7868,-56.1549,41.13,81,16,13.22,GL,2021-07-25 18:59:15,few clouds
1586,Koslan,63.4564,48.8989,51.82,94,100,4.68,RU,2021-07-25 19:03:30,overcast clouds
1587,Krasnodar,45.0,40.0,78.22,58,0,9.4,RU,2021-07-25 19:03:30,clear sky
1588,Hovd,48.0056,91.6419,66.09,57,16,4.97,MN,2021-07-25 19:03:31,few clouds
1589,Narok,-1.0783,35.8601,61.43,59,100,4.88,KE,2021-07-25 19:01:14,overcast clouds
1590,Olden,61.8364,6.8064,75.16,71,75,6.26,NO,2021-07-25 19:03:31,broken clouds
1591,Labytnangi,66.6572,66.4183,47.95,79,100,12.12,RU,2021-07-25 19:03:31,overcast clouds
1592,Avarua,-21.2078,-159.775,71.65,100,75,3.44,CK,2021-07-25 18:55:01,light rain
1593,Mataura,-46.1927,168.8643,47.48,92,100,3.22,NZ,2021-07-25 18:57:39,light rain
1594,Bethel,41.3712,-73.414,81.01,83,100,1.01,US,2021-07-25 18:59:11,overcast clouds
1595,Broken Hill,-31.95,141.4333,47.55,80,4,12.12,AU,2021-07-25 19:02:51,clear sky
1596,Fairbanks,64.8378,-147.7164,64.22,65,90,1.01,US,2021-07-25 19:00:04,haze
1597,Manono,-7.3,27.4167,76.35,31,53,8.08,CD,2021-07-25 19:03:33,broken clouds
1598,Sombrio,-29.1139,-49.6167,84.94,58,62,5.88,BR,2021-07-25 19:03:33,broken clouds
1599,Ushuaia,-54.8,-68.3,33.46,100,75,20.71,AR,2021-07-25 18:56:18,light snow
1600,Mahebourg,-20.4081,57.7,70.25,64,20,12.66,MU,2021-07-25 18:55:40,few clouds
1601,Vilyuysk,63.7553,121.6247,63.05,61,71,5.23,RU,2021-07-25 19:03:34,broken clouds
1602,Yellowknife,62.456,-114.3525,65.32,51,20,1.99,CA,2021-07-25 18:53:54,few clouds
1603,Rikitea,-23.1203,-134.9692,70.5,67,76,6.44,PF,2021-07-25 18:55:36,broken clouds
1604,Samana,19.2056,-69.3369,84.42,79,75,4.61,DO,2021-07-25 19:03:35,broken clouds
1605,Haines Junction,60.7522,-137.5108,55.35,67,96,3.44,CA,2021-07-25 18:57:49,overcast clouds
1606,Yar-Sale,66.8333,70.8333,48.07,80,78,16.13,RU,2021-07-25 18:58:19,broken clouds
1607,Busselton,-33.65,115.3333,58.08,66,5,20.22,AU,2021-07-25 18:57:34,clear sky
1608,Tuktoyaktuk,69.4541,-133.0374,50.0,93,90,12.66,CA,2021-07-25 18:57:24,light rain
1609,Punta Arenas,-53.15,-70.9167,41.11,65,20,19.57,CL,2021-07-25 18:57:42,few clouds
1610,Richards Bay,-28.783,32.0377,58.1,82,0,7.02,ZA,2021-07-25 19:03:36,clear sky
1611,Longyearbyen,78.2186,15.6401,44.44,81,75,9.22,SJ,2021-07-25 18:55:03,broken clouds
1612,Rikitea,-23.1203,-134.9692,70.5,67,76,6.44,PF,2021-07-25 18:55:36,broken clouds
1613,Kungurtug,50.5994,97.5228,53.44,94,97,1.81,RU,2021-07-25 18:59:46,overcast clouds
1614,Ancud,-41.8697,-73.8203,47.73,61,24,11.03,CL,2021-07-25 18:55:49,few clouds
1615,Ushuaia,-54.8,-68.3,33.46,100,75,20.71,AR,2021-07-25 18:56:18,light snow
1616,Saint Anthony,45.0205,-93.218,93.25,28,20,3.0,US,2021-07-25 18:57:30,few clouds
1617,Albany,42.6001,-73.9662,84.27,73,66,3.15,US,2021-07-25 18:54:00,broken clouds
1618,Syracuse,37.0881,15.2792,87.62,57,0,7.92,IT,2021-07-25 19:03:37,clear sky
1619,Albany,42.6001,-73.9662,84.27,73,66,3.15,US,2021-07-25 18:54:00,broken clouds
1620,Lazurne,46.084,32.5295,73.85,60,0,2.13,UA,2021-07-25 19:03:38,clear sky
1621,Fortuna,40.5982,-124.1573,61.72,85,1,10.36,US,2021-07-25 18:54:56,clear sky
1622,Rikitea,-23.1203,-134.9692,70.5,67,76,6.44,PF,2021-07-25 18:55:36,broken clouds
